Epoch time,Latitude,Longitude,Radiation (cps)
1682554873.3135183,37.87189,-122.252196,31.2
1682554878.7030978,37.87189,-122.252196,35.8
1682554884.04577,37.87189,-122.252196,28.0
1682554889.328133,37.87189,-122.252196,26.8
1682554894.6302001,37.87189,-122.252196,25.6
1682554899.9874122,37.87189,-122.252196,25.2
1682554905.3081353,37.87189,-122.252196,28.4
1682554910.6090963,37.87189,-122.252196,27.6
1682554915.952578,37.87189,-122.252196,32.4
1682554921.3186748,37.87189,-122.252195,28.4
1682554926.662272,37.87189,-122.252195,28.6
1682554932.020433,37.87189,-122.252195,31.4
1682554937.3517444,37.87189,-122.252195,28.4
1682554942.6967766,37.87189,-122.252195,27.4
1682554948.0553923,37.87189,-122.252195,26.2
1682554953.4088407,37.87189,-122.252195,31.8
1682554958.8200917,37.87189,-122.252195,27.8
1682554964.190571,37.87189,-122.252195,32.4
1682554969.5562613,37.87189,-122.252195,31.4
1682554974.9688354,37.87189,-122.252195,31.6
1682554980.3180728,37.87189,-122.252195,31.6
1682554985.7244048,37.87189,-122.252195,32.6
1682554991.202667,37.87189,-122.252195,30.6
1682554996.6636662,37.87189,-122.252193,30.8
1682555002.1051445,37.87189,-122.252193,29.2
1682555007.5774183,37.87189,-122.252193,28.8
1682555013.0737653,37.87189,-122.252193,30.6
1682555018.4522161,37.87189,-122.252193,32.2
1682555023.8896794,37.871891,-122.252185,33.0
1682555029.322234,37.871891,-122.252176,30.2
1682555034.7663565,37.871893,-122.252171,35.2
1682555040.1968951,37.871895,-122.25217,32.0
1682555045.6101599,37.871896,-122.252166,23.8
1682555051.0459845,37.871896,-122.252166,34.2
1682555056.4393914,37.871896,-122.252166,29.0
1682555061.859671,37.871896,-122.252166,31.2
1682555067.2864451,37.871896,-122.252166,28.8
1682555072.7134054,37.871896,-122.252166,32.8
1682555078.1623397,37.871896,-122.252166,28.2
1682555083.5911326,37.871896,-122.252166,22.6
1682555089.0922997,37.871896,-122.252166,33.0
1682555094.5226667,37.871896,-122.252166,31.0
1682555099.987027,37.871896,-122.252166,31.8
1682555105.523015,37.871896,-122.252168,29.0
1682555111.0097547,37.871896,-122.252168,30.2
1682555116.456957,37.871896,-122.252168,30.8
1682555121.9564567,37.871896,-122.252168,30.2
1682555127.4025867,37.871896,-122.252168,32.4
1682555132.9085662,37.871896,-122.252168,32.6
1682555138.3838258,37.871896,-122.252166,32.2
1682555143.8770003,37.871896,-122.252166,33.6
1682555149.4671047,37.871896,-122.252166,28.6
1682555154.9693153,37.871896,-122.252166,29.4
1682555160.458312,37.871896,-122.252166,30.0
1682555165.9887223,37.871896,-122.252166,29.2
1682555171.4537735,37.871896,-122.252166,31.6
1682555176.9614372,37.871896,-122.252166,34.2
1682555182.4748545,37.871896,-122.252166,35.0
1682555188.0113232,37.871896,-122.252166,30.2
