Time,Temperature (C),Gas (ohms),Humidity (%),Pressure (hPa),Altitude (m),PM10 Standard (mirogram/m^3),PM25 Standard (mirogram/m^3),PM100 Standard (mirogram/m^3),
1676504871.6997843,42.81828125,26984,2.468836919296072,1011.1013417938487,17.90442616947809,0,0,0,
1676504873.2282708,42.8325390625,36850,2.4312343451565086,1011.097012914064,17.94052911770236,0,0,0,
1676504874.415173,42.849921875,44127,2.3936700861009474,1011.083191481525,18.055800992797003,0,0,0,
1676504875.6028175,42.8731640625,49568,2.3797346569077806,1011.0769493488489,18.10786130686304,0,0,0,
1676504876.7963202,42.8969921875,53701,2.361090311977885,1011.075269409065,18.12187229873153,0,0,0,
1676504877.9897313,42.9200390625,57234,2.3377264235993596,1011.0705213147204,18.161472338644398,0,0,0,
1676504879.1828537,42.94640625,59790,2.3238178426977982,1011.0638412352148,18.217185769411316,0,0,0,
1676504880.37478,42.9719921875,62537,2.3051894782449773,1011.0722227401271,18.14728209908132,0,0,0,
1676504881.5673244,42.9985546875,64349,2.3054185631840314,1011.0694752612649,18.17019665027309,0,0,0,
1676504882.759897,43.015546875,65754,2.3102782460124427,1011.0695157237326,18.16985918441911,0,0,0,
1676504883.9521282,43.0219921875,66689,2.522660077979812,1011.0780340834186,18.098814440679135,0,0,0,
1676504885.1453345,43.0426953125,68531,2.6930547302673906,1011.0785814505438,18.094249311077682,0,0,0,
1676504886.338569,43.05890625,69720,2.7594884833844673,1011.0755531221726,18.119506080427758,0,0,0,
1676504887.5316617,43.0860546875,70713,2.7929231106745727,1011.0828008705399,18.05905873882671,0,0,0,
1676504888.724778,43.1208203125,72103,2.793285355653598,1011.0877465657219,18.01781107798192,0,0,0,
1676504889.918743,43.1548046875,73103,2.7841631739446426,1011.0859943483244,18.032424751866575,0,0,0,
1676504891.1111603,43.1833203125,74457,2.7323498559460053,1011.0954226698622,17.95379181914339,0,0,0,
1676504892.3042338,43.2122265625,75456,2.6568891826696746,1011.1036603252205,17.885089620657414,0,0,0,
1676504893.4961307,43.235078125,76691,2.5766816191117314,1011.1058196221395,17.867081119272335,0,0,0,
1676504894.6880627,43.25421875,77894,2.5012166759475947,1011.1038437715573,17.883559679968716,0,0,0,
1676504895.880216,43.2700390625,78840,2.444661925693718,1011.0983593873964,17.92929948845028,0,0,0,
1676504897.0719504,43.282734375,79584,2.4069923298960423,1011.1096333301166,17.83527493248095,0,0,0,
1676504898.264704,43.28234375,80189,2.435326748070034,1011.1090073766159,17.840495355409743,0,0,0,
1676504899.4578497,43.2798046875,80649,2.4920030669683126,1011.1085665431361,17.844171887587493,0,0,0,
1676504900.6509726,43.289375,81585,2.4637375555847543,1011.1184605891729,17.76165628338569,0,0,0,
1676504901.8428771,43.2962109375,82462,2.416559349312342,1011.123972846442,17.715684753477284,0,0,0,
1676504903.034774,43.310859375,83358,2.3694704307074743,1011.116607722174,17.777109005869928,0,0,0,
1676504904.2266538,43.327265625,84106,2.3271332534154077,1011.1120579062513,17.815054105596765,0,0,0,
1676504905.4187992,43.3458203125,84697,2.270675596724762,1011.1073208446765,17.854560965940497,0,0,0,
1676504906.61071,43.369453125,85469,2.228429586664548,1011.1089041873362,17.841355949428586,0,0,0,
1676504907.802892,43.3958203125,85992,2.1909306364906795,1011.1076090763578,17.852157123623943,0,0,0,
1676504908.994757,43.424140625,86521,2.1581673056551938,1011.1076254836715,17.852020287210458,0,0,0,
1676504910.186693,43.4524609375,87236,2.1254080639445383,1011.1021949601278,17.897310759575504,0,0,0,
1676504911.3786888,43.4841015625,87872,2.1021011955538964,1011.1057083632185,17.8680090161164,0,0,0,
1676504912.5711553,43.5137890625,88518,2.088201094410426,1011.1097178623218,17.83456993804476,0,0,0,
1676504913.762825,43.5440625,89078,2.08372701901017,1011.105588940916,17.86900499545868,0,0,0,
1676504914.9547355,43.5762890625,89646,2.0745557344372285,1011.1154724165057,17.7865773511049,0,0,0,
1676504916.147268,43.6091015625,90125,2.0512535761539463,1011.1081421672415,17.847711165442348,0,0,0,
1676504917.3408675,43.64015625,90609,2.046781602172867,1011.1125102443558,17.81128163590767,0,0,0,
1676504918.533155,43.6653515625,91098,2.03755236174527,1011.1111198692502,17.822877276106702,0,0,0,
1676504919.7258985,43.6801953125,91692,2.051801960151182,1011.1185584425234,17.760840197021263,0,0,0,
1676504920.9191165,43.688984375,92395,2.066008097880745,1011.1162993450995,17.77968084156152,0,0,0,
