Time,Temperature (C),Gas (ohms),Humidity (%),Pressure (hPa),Altitude (m),PM10 Standard (mirogram/m^3),PM25 Standard (mirogram/m^3),PM100 Standard (mirogram/m^3),
1676507382.1427317,43.783515625,34501,2.463569849639119,1011.634398823498,13.45967564666353,0,0,0,
1676507383.329209,43.80109375,17333,2.458998623070817,1011.6371464635876,13.436770112950073,0,0,0,
1676507384.5223951,43.82765625,25908,2.42611082959734,1011.6452093887416,13.369554320881358,0,0,0,
1676507385.7155128,43.8559765625,34333,2.412170798452243,1011.6470080216111,13.354560251910474,0,0,0,
1676507386.9040022,43.8774609375,42527,2.4029004415710586,1011.6451145401344,13.370345014557838,0,1,1,
1676507388.094351,43.892890625,50158,2.412505136996982,1011.6498605038195,13.330780949265845,0,1,1,
1676507389.2871258,43.9126171875,56772,2.4647636855071253,1011.6505946228617,13.324661081527996,0,1,1,
1676507390.4805982,43.9153515625,62630,2.564290094365131,1011.6513434316932,13.318418758385782,0,0,0,
1676507391.6741252,43.8989453125,68642,2.6352604484319633,1011.6486658309966,13.340740158713968,0,0,0,
1676507392.8677568,43.883515625,73357,2.7062823346551546,1011.6402890155567,13.410572482237878,0,0,0,
1676507394.0615273,43.8270703125,77822,2.810168245581421,1011.6315623146223,13.483322082426213,0,0,0,
1676507395.2544467,43.7743359375,81664,2.9474468408835035,1011.6178760163031,13.597418081484905,0,0,0,
1676507396.447782,43.69953125,85817,3.02272818079215,1011.6141947078929,13.62810756892192,0,0,0,
1676507397.641365,43.6321484375,89456,3.03148242566729,1011.6096772694357,13.665767637085178,0,0,0,
1676507398.8339067,43.555390625,93006,3.0258576627258873,1011.6064478395073,13.692690179458326,0,0,0,
1676507400.0272434,43.4419140625,94963,2.996055927316657,1011.6132871244985,13.635673715850249,0,0,0,
1676507401.2207692,43.3266796875,97883,3.0232769971645563,1011.6081760395444,13.678282817259156,0,0,0,
1676507402.4137797,43.1971875,101291,2.998071526683272,1011.6037233316478,13.715403430624294,0,0,0,
1676507403.6067052,43.0301953125,104102,2.9724804548803583,1011.6061480840333,13.695189131607775,0,0,0,
1676507404.7992892,42.8376171875,107621,2.932426001097079,1011.6109052061655,13.65553080878912,0,1,1,
1676507405.9923303,42.650703125,109365,2.9067083565987146,1011.608267009892,13.67752443178958,0,0,0,
1676507407.1858933,42.472578125,111386,2.8574732160679894,1011.6159520846264,13.613457062445375,0,0,0,
