Time,Counts per minute,
1679523086.1660974,0,
1679523096.177193,0,
1679523106.188113,0,
1679523116.199097,0,
1679523126.2099981,0,
1679523136.2208886,2,
1679523146.2317476,0,
1679523156.242679,2,
1679523166.253542,0,
1679523176.2644336,1,
1679523186.2754302,0,
1679523196.286196,1,
