Time,Counts per minute,
1679521849.71421,1,
1679521859.725131,1,
1679521869.7360291,0,
1679521879.7467945,0,
1679521889.757589,1,
1679521899.7684033,2,
1679521909.7793562,2,
1679521919.7902288,0,
1679521929.8011203,1,
1679521939.811949,0,
1679521949.8227916,1,
1679521959.833692,0,
