Time,Counts per 10 seconds,
1679522608.9550884,3,
1679522618.9661498,2,
1679522628.9770508,1,
1679522638.9879932,1,
1679522648.9990363,2,
1679522659.0099287,1,
1679522669.0208938,3,
1679522679.0319211,1,
1679522689.0428658,2,
1679522699.0536702,2,
1679522709.0646064,0,
1679522719.0755107,3,
