Time,Counts per 10 seconds,
1679520642.3167675,18,
1679520652.327879,25,
1679520662.339,15,
1679520672.349623,18,
1679520682.3605826,13,
1679520692.3715222,15,
1679520702.382255,26,
1679520712.3931568,15,
1679520722.4038773,20,
1679520732.4143739,24,
1679520742.42532,18,
1679520752.4362633,22,
