Time,Counts per 10 seconds,
1679522141.7619727,36,
1679522151.7730308,59,
1679522161.783814,35,
1679522171.7943063,43,
1679522181.8054078,33,
1679522191.816585,37,
1679522201.8271067,41,
1679522211.8381858,34,
1679522221.8493404,44,
1679522231.8601902,47,
1679522241.8712802,40,
1679522251.8822958,41,
