Time,Counts per 10 seconds,
1679521705.8002064,0,
1679521715.8111484,1,
1679521725.8219676,1,
1679521735.8328543,3,
1679521745.8437598,1,
1679521755.854671,1,
1679521765.8656437,1,
1679521775.8766932,2,
1679521785.8877387,1,
1679521795.8988638,4,
1679521805.9099126,0,
1679521815.92077,1,
