Time,Counts per minute,
1679522934.2398064,1,
1679522944.250887,0,
1679522954.261821,1,
1679522964.272764,2,
1679522974.2837756,1,
1679522984.2947447,1,
1679522994.3056657,0,
1679523004.316642,1,
1679523014.3277133,1,
1679523024.3387034,2,
1679523034.34964,0,
1679523044.3606539,1,
