Time,Counts per 10 seconds,
1679520934.4038324,3,
1679520944.4147737,5,
1679520954.424893,8,
1679520964.435839,5,
1679520974.4468014,3,
1679520984.4577622,4,
1679520994.4686904,1,
1679521004.479757,7,
1679521014.4918537,13,
1679521024.5023413,4,
1679521034.5132334,4,
1679521044.5238702,2,
